label,run_dir,termination_reason,duration_s,diagnostic_samples,first_equilibrium_time_s,final_speed_p50_mps,final_speed_p95_mps,final_speed_p99_mps,final_speed_rms_mps,late_speed_p99_median_mps,late_speed_p99_min_mps,late_speed_p99_max_mps,samples_p99_at_or_below_gate_fraction,longest_sampled_p99_below_gate_s,final_top_near_side_wall_fraction,final_top_near_ground_fraction,final_top_near_surface_fraction,final_top_inside_action_footprint_fraction,late_top_near_side_wall_mean_fraction,diagnosis,reported_mover_count,persistent_mover_count_ge_50pct_samples,persistent_median_vertical_displacement_mm,persistent_mean_vertical_displacement_mm,persistent_median_horizontal_displacement_mm
dt_0.5_ms,/data/christoa/Chrono/tera_splat/outputs/validity_experiment/numerical_diagnosis/pre_settle_trace_n128_dt0p5ms,equilibrium,4.0,401,2.055,9.984439384425059e-05,0.00024283866514451802,0.0004500481474678968,0.0001758027989514286,0.0004730582062620676,0.0004394859075546265,0.0005314687266945847,0.22194513715710723,0.69,0.984390243902439,0.7671544715447155,0.0045528455284552845,0.0,0.9752362553328505,boundary-localized fast tail; bulk p95 is below the gate,6879,2212,-3.1353607773780823,-3.2844858759404523,3.5756323841074775
dt_0.25_ms,/data/christoa/Chrono/tera_splat/outputs/validity_experiment/numerical_diagnosis/pre_settle_trace_n128_dt0p25ms,equilibrium,4.0,401,1.53025,0.0001701909932307899,0.00036033804644830525,0.0005157023901119832,0.000229150833740279,0.0004900161758996552,0.00048082583816722057,0.0005185665097087629,0.49875311720698257,1.9200000000000002,0.9772357723577236,0.3105691056910569,0.4991869918699187,0.003902439024390244,0.9790388794977062,boundary-localized fast tail; bulk p95 is below the gate,7297,2373,-1.967601478099823,-1.5039098380933944,1.492699644882673
dt_0.125_ms,/data/christoa/Chrono/tera_splat/outputs/validity_experiment/numerical_diagnosis/pre_settle_trace_n128_dt0p125ms,timeout,4.0,401,,0.00029099188395775855,0.0007639842224307358,0.000985853024758399,0.0003957057867394951,0.000991276069544256,0.0009794462239369778,0.0010114317527040852,0.0,0.0,0.5879674796747968,0.0013008130081300813,0.9986991869918699,0.16878048780487806,0.48724784673589294,free-surface-localized motion; p95 remains above the gate,5404,2779,2.555360035330523,2.5686149877907214,0.171923756446597
