label,particle_index,diagnostic_sample_hits,diagnostic_sample_fraction,final_speed_mps,source_x_m,source_y_m,source_z_m,final_x_m,final_y_m,final_z_m
dt_0.5_ms,292940,298,0.743142144638404,0.006111124996095896,0.30024096369743347,-0.30025017261505127,-0.10008248686790466,0.31410977244377136,-0.31515657901763916,-0.1051580086350441
dt_0.5_ms,307340,298,0.743142144638404,0.006110199261456728,-0.30024096369743347,0.30025017261505127,-0.10008341073989868,-0.31411468982696533,0.31515517830848694,-0.10515701770782471
dt_0.5_ms,307460,298,0.743142144638404,0.006105825304985046,0.30024096369743347,0.3002500832080841,-0.10008400678634644,0.3141110837459564,0.3151548504829407,-0.10515185445547104
dt_0.5_ms,292820,298,0.743142144638404,0.006097731180489063,-0.30024096369743347,-0.3002500832080841,-0.10008282214403152,-0.3140990138053894,-0.31515514850616455,-0.1051579937338829
dt_0.5_ms,293061,281,0.7007481296758105,0.004818872082978487,0.3002386689186096,-0.2952054738998413,-0.10008493810892105,0.3138747215270996,-0.30146777629852295,-0.10415886342525482
dt_0.5_ms,307219,281,0.7007481296758105,0.004814500454813242,-0.3002386689186096,0.2952055335044861,-0.10008575022220612,-0.3138764500617981,0.3014659285545349,-0.10415814816951752
dt_0.5_ms,307339,281,0.7007481296758105,0.004813865292817354,0.3002386689186096,0.2952054440975189,-0.10008616000413895,0.3138745427131653,0.30146244168281555,-0.1041552796959877
dt_0.5_ms,292941,281,0.7007481296758105,0.0048122406005859375,-0.3002386689186096,-0.29520541429519653,-0.10008545219898224,-0.31387439370155334,-0.30146870017051697,-0.10416028648614883
dt_0.5_ms,307459,281,0.7007481296758105,0.0047621894627809525,0.2952010929584503,0.30024126172065735,-0.10008623450994492,0.3013077974319458,0.31391510367393494,-0.10421620309352875
dt_0.5_ms,292939,281,0.7007481296758105,0.004761622752994299,0.2952011823654175,-0.3002413213253021,-0.1000850573182106,0.3013083040714264,-0.3139188289642334,-0.10422621667385101
dt_0.5_ms,292821,281,0.7007481296758105,0.004758261609822512,-0.2952011525630951,-0.30024126172065735,-0.10008562356233597,-0.30130890011787415,-0.31392407417297363,-0.10422242432832718
dt_0.5_ms,307341,281,0.7007481296758105,0.004757399670779705,-0.2952011525630951,0.3002413213253021,-0.10008586943149567,-0.30130571126937866,0.3139154016971588,-0.10422103106975555
dt_0.5_ms,278299,276,0.6882793017456359,0.004685592371970415,0.30015066266059875,-0.3001649081707001,-0.09511330723762512,0.3075382113456726,-0.3081313371658325,-0.10043976455926895
dt_0.5_ms,292699,276,0.6882793017456359,0.004682204220443964,-0.30015069246292114,0.3001649081707001,-0.09511566162109375,-0.3075406849384308,0.3081241846084595,-0.10043704509735107
dt_0.5_ms,278179,276,0.6882793017456359,0.004679994657635689,-0.30015063285827637,-0.30016472935676575,-0.09511498361825943,-0.30753040313720703,-0.3081350028514862,-0.10043609142303467
dt_0.5_ms,292819,276,0.6882793017456359,0.004667113069444895,0.30015063285827637,0.3001648187637329,-0.09511572122573853,0.3075314462184906,0.30803635716438293,-0.10043207556009293
dt_0.5_ms,307098,276,0.6882793017456359,0.004395555704832077,-0.3002345860004425,0.29016926884651184,-0.10008622705936432,-0.3132942318916321,0.293839693069458,-0.10436446219682693
dt_0.5_ms,293182,276,0.6882793017456359,0.004393323324620724,0.30023452639579773,-0.29016920924186707,-0.1000848188996315,0.3132474422454834,-0.293839693069458,-0.10436433553695679
dt_0.5_ms,307218,276,0.6882793017456359,0.00438710069283843,0.30023452639579773,0.2901691794395447,-0.10008593648672104,0.31324177980422974,0.29383906722068787,-0.1043640747666359
dt_0.5_ms,293062,276,0.6882793017456359,0.004386587999761105,-0.30023449659347534,-0.2901690900325775,-0.10008509457111359,-0.3132372498512268,-0.29383915662765503,-0.1043645590543747
dt_0.5_ms,307458,276,0.6882793017456359,0.004065902438014746,0.2901657819747925,0.3002347946166992,-0.10008709877729416,0.29371240735054016,0.31252458691596985,-0.10433925688266754
dt_0.5_ms,292938,276,0.6882793017456359,0.00406420323997736,0.2901659309864044,-0.3002348244190216,-0.10008584707975388,0.29371148347854614,-0.31252628564834595,-0.10434260964393616
dt_0.5_ms,292822,276,0.6882793017456359,0.004063674248754978,-0.29016584157943726,-0.30023473501205444,-0.10008695721626282,-0.29371267557144165,-0.3125286400318146,-0.10434132814407349
dt_0.5_ms,307342,276,0.6882793017456359,0.004057247657328844,-0.2901659309864044,0.3002347946166992,-0.10008718818426132,-0.2937098443508148,0.31251826882362366,-0.10434239357709885
dt_0.5_ms,293303,267,0.6658354114713217,0.0038344725035130978,0.3002300262451172,-0.28513479232788086,-0.10008025169372559,0.3117721974849701,-0.2867318391799927,-0.10408247262239456
dt_0.5_ms,293183,267,0.6658354114713217,0.00383202126249671,-0.3002300262451172,-0.28513479232788086,-0.10008056461811066,-0.3117728531360626,-0.28673189878463745,-0.10408348590135574
dt_0.5_ms,307097,267,0.6658354114713217,0.0038311800453811884,0.3002299964427948,0.28513485193252563,-0.1000809594988823,0.3117820620536804,0.28673046827316284,-0.1040826141834259
dt_0.5_ms,306977,267,0.6658354114713217,0.00383002869784832,-0.3002300262451172,0.2851349711418152,-0.1000809296965599,-0.3117774724960327,0.2867316007614136,-0.10408203303813934
dt_0.5_ms,278420,266,0.6633416458852868,0.003316620597615838,0.3001626133918762,-0.29519039392471313,-0.09511758387088776,0.3077051043510437,-0.2992417812347412,-0.10012497007846832
dt_0.5_ms,292578,266,0.6633416458852868,0.0033126319758594036,-0.3001626133918762,0.29519039392471313,-0.09511919319629669,-0.30770447850227356,0.29924166202545166,-0.10011564940214157
dt_0.5_ms,278300,266,0.6633416458852868,0.0033101276494562626,-0.30016255378723145,-0.2951902747154236,-0.09511882066726685,-0.3076910376548767,-0.2992408871650696,-0.10011467337608337
dt_0.5_ms,292698,266,0.6633416458852868,0.0033089357893913984,0.30016255378723145,0.2951902747154236,-0.09511943906545639,0.30768460035324097,0.29923900961875916,-0.10011149197816849
dt_0.5_ms,278298,266,0.6633416458852868,0.0032289689406752586,0.2951849400997162,-0.30016645789146423,-0.09511805325746536,0.29911157488822937,-0.3076169192790985,-0.1001206561923027
dt_0.5_ms,278180,266,0.6633416458852868,0.0032283752225339413,-0.2951849102973938,-0.3001663386821747,-0.09511934220790863,-0.2991124093532562,-0.3076196610927582,-0.10011925548315048
dt_0.5_ms,292818,266,0.6633416458852868,0.0032236699480563402,0.295184850692749,0.30016642808914185,-0.09511978924274445,0.29911261796951294,0.30759677290916443,-0.10011304914951324
dt_0.5_ms,292700,266,0.6633416458852868,0.003222648287191987,-0.2951849102973938,0.30016639828681946,-0.09511969238519669,-0.29911255836486816,0.30761080980300903,-0.10011959075927734
dt_0.5_ms,292823,264,0.6583541147132169,0.0037826145999133587,-0.2851315140724182,-0.3002298176288605,-0.10008356720209122,-0.2866166830062866,-0.31172773241996765,-0.10404659062623978
dt_0.5_ms,307457,264,0.6583541147132169,0.0037782120052725077,0.28513139486312866,0.3002298176288605,-0.10008321702480316,0.286616712808609,0.31169766187667847,-0.10403943806886673
dt_0.5_ms,292937,264,0.6583541147132169,0.0037767014000564814,0.2851316034793854,-0.30022987723350525,-0.1000823825597763,0.2866162359714508,-0.3117002546787262,-0.10404375940561295
dt_0.5_ms,307343,264,0.6583541147132169,0.0037698140367865562,-0.285131573677063,0.30022987723350525,-0.10008341819047928,-0.28661656379699707,0.31169402599334717,-0.10404162108898163
dt_0.5_ms,263658,263,0.655860349127182,0.001133375451900065,0.30015072226524353,-0.30016306042671204,-0.09010782837867737,0.3035553991794586,-0.30373209714889526,-0.09541261196136475
dt_0.5_ms,263538,263,0.655860349127182,0.001132246688939631,-0.3001505434513092,-0.30016282200813293,-0.09010953456163406,-0.30355536937713623,-0.3037317395210266,-0.09540995210409164
dt_0.5_ms,278058,263,0.655860349127182,0.0011297357268631458,-0.3001505434513092,0.30016279220581055,-0.09010988473892212,-0.30355557799339294,0.3037320077419281,-0.09541010856628418
dt_0.5_ms,278178,263,0.655860349127182,0.0011291428236290812,0.30015069246292114,0.30016273260116577,-0.0901104286313057,0.3035556375980377,0.3037314713001251,-0.09540730714797974
dt_0.5_ms,263779,263,0.655860349127182,0.0010575272608548403,0.3001600503921509,-0.2951892614364624,-0.09011319279670715,0.3036437928676605,-0.2988836169242859,-0.09567655622959137
dt_0.5_ms,263659,263,0.655860349127182,0.0010569145670160651,-0.30015990138053894,-0.2951890230178833,-0.09011469781398773,-0.30364373326301575,-0.29888278245925903,-0.09567584842443466
dt_0.5_ms,263657,263,0.655860349127182,0.0010541897499933839,0.29518187046051025,-0.3001643419265747,-0.09011343866586685,0.2987963855266571,-0.3037034571170807,-0.09566926956176758
dt_0.5_ms,277937,263,0.655860349127182,0.0010538387577980757,-0.30015993118286133,0.2951889932155609,-0.0901152566075325,-0.30364397168159485,0.29888322949409485,-0.09567396342754364
dt_0.5_ms,263539,263,0.655860349127182,0.0010531804291531444,-0.2951817512512207,-0.30016419291496277,-0.09011517465114594,-0.29879632592201233,-0.3037031292915344,-0.09566792100667953
