step,time,x,y,z,command_x,command_y,command_z,depth,bottom_z,command_bottom_z
2960,0.74,-3.36159864673391e-05,-3.188610662618885e-06,-2.513218402862549,0.0,0.0,-2.516885411911011,0.07168,-2.533218402862549,-2.536885411911011
3040,0.76,-3.333244603709318e-05,-2.6760512810142245e-06,-2.5149283409118652,0.0,0.0,-2.5187129119110105,0.0735075,-2.5349283409118653,-2.5387129119110106
3120,0.78,-3.0926239560358226e-05,1.063221020558558e-06,-2.5163161754608154,0.0,0.0,-2.520345411911011,0.07514,-2.5363161754608154,-2.540345411911011
3200,0.8,-2.939586374850478e-05,-7.323389894509091e-08,-2.5172064304351807,0.0,0.0,-2.521767911911011,0.0765625,-2.5372064304351807,-2.541767911911011
3280,0.8200000000000001,-2.8463939088396728e-05,-5.03122635109321e-07,-2.5179693698883057,0.0,0.0,-2.5229654119110108,0.07776,-2.5379693698883057,-2.5429654119110108
3360,0.84,-2.781885450531263e-05,-5.727767415919516e-07,-2.518547296524048,0.0,0.0,-2.5239229119110105,0.0787175,-2.538547296524048,-2.5439229119110105
3440,0.86,-2.743097320490051e-05,-5.883235871806392e-07,-2.518991470336914,0.0,0.0,-2.5246254119110105,0.07942,-2.538991470336914,-2.5446254119110105
3520,0.88,-2.718956966418773e-05,-5.965404739072255e-07,-2.519287586212158,0.0,0.0,-2.5250579119110106,0.07985249999999999,-2.539287586212158,-2.5450579119110106
3600,0.9,-2.714697075134609e-05,-6.875500275782542e-07,-2.5194220542907715,0.0,0.0,-2.5252054119110108,0.08,-2.5394220542907715,-2.545205411911011
3680,0.92,-2.7096079065813683e-05,-8.781477731645282e-07,-2.5194220542907715,0.0,0.0,-2.5252054119110108,0.08,-2.5394220542907715,-2.545205411911011
3760,0.9400000000000001,-2.6995709049515426e-05,-1.1347941608619294e-06,-2.5194268226623535,0.0,0.0,-2.5252054119110108,0.08,-2.5394268226623535,-2.545205411911011
3840,0.96,-2.6945226636598818e-05,-1.503697490079503e-06,-2.519455671310425,0.0,0.0,-2.5252054119110108,0.08,-2.539455671310425,-2.545205411911011
3920,0.98,-2.6857287593884394e-05,-1.9540602806955576e-06,-2.519481897354126,0.0,0.0,-2.5252054119110108,0.08,-2.539481897354126,-2.545205411911011
4000,1.0,-2.681003934412729e-05,-2.3841434995119926e-06,-2.519505739212036,0.0,0.0,-2.5252054119110108,0.08,-2.539505739212036,-2.545205411911011
4080,1.02,-2.6831263312487863e-05,-2.8525516881927615e-06,-2.5195279121398926,0.0,0.0,-2.5252054119110108,0.08,-2.5395279121398926,-2.545205411911011
4160,1.04,-2.6860601792577654e-05,-3.351019813635503e-06,-2.5195486545562744,0.0,0.0,-2.5252054119110108,0.08,-2.5395486545562744,-2.545205411911011
4240,1.06,-2.690455767151434e-05,-3.845815626846161e-06,-2.519568681716919,0.0,0.0,-2.5252054119110108,0.08,-2.539568681716919,-2.545205411911011
4320,1.08,-2.6999754481948912e-05,-4.309198629925959e-06,-2.519587278366089,0.0,0.0,-2.5252054119110108,0.08,-2.539587278366089,-2.545205411911011
4400,1.1,-2.7111671442980878e-05,-4.746274498756975e-06,-2.519604444503784,0.0,0.0,-2.5252054119110108,0.08,-2.539604444503784,-2.545205411911011
4480,1.12,-2.7214930014451966e-05,-5.152614903636277e-06,-2.5196211338043213,0.0,0.0,-2.5252054119110108,0.08,-2.5396211338043213,-2.545205411911011
4560,1.1400000000000001,-2.7321164452587254e-05,-5.523371783056064e-06,-2.519636869430542,0.0,0.0,-2.5252054119110108,0.08,-2.539636869430542,-2.545205411911011
4640,1.16,-2.741709613474086e-05,-5.866825176781276e-06,-2.5196516513824463,0.0,0.0,-2.5252054119110108,0.08,-2.5396516513824463,-2.545205411911011
4720,1.18,-2.750268868112471e-05,-6.181673143146327e-06,-2.5196657180786133,0.0,0.0,-2.5252054119110108,0.08,-2.5396657180786133,-2.545205411911011
4800,1.2,-2.759239578153938e-05,-6.486537586170016e-06,-2.519679307937622,0.0,0.0,-2.5252054119110108,0.08,-2.539679307937622,-2.545205411911011
4880,1.22,-2.7687003239407204e-05,-6.800226401537657e-06,-2.5196917057037354,0.0,0.0,-2.5252054119110108,0.08,-2.5396917057037354,-2.545205411911011
4960,1.24,-2.7768652216764167e-05,-7.112625098670833e-06,-2.5197036266326904,0.0,0.0,-2.5252054119110108,0.08,-2.5397036266326904,-2.545205411911011
5040,1.26,-2.7848816898767836e-05,-7.420640486088814e-06,-2.5197150707244873,0.0,0.0,-2.5252054119110108,0.08,-2.5397150707244873,-2.545205411911011
5120,1.28,-2.7944477551500313e-05,-7.713702871114947e-06,-2.5197255611419678,0.0,0.0,-2.5252054119110108,0.08,-2.539725561141968,-2.545205411911011
5200,1.3,-2.8051006665918976e-05,-7.97631400928367e-06,-2.519735097885132,0.0,0.0,-2.5252054119110108,0.08,-2.539735097885132,-2.545205411911011
5280,1.32,-2.814822619257029e-05,-8.20629793452099e-06,-2.519744634628296,0.0,0.0,-2.5252054119110108,0.08,-2.539744634628296,-2.545205411911011
5360,1.34,-2.824347211571876e-05,-8.414747753704432e-06,-2.5197536945343018,0.0,0.0,-2.5252054119110108,0.08,-2.5397536945343018,-2.545205411911011
5440,1.36,-2.833166581694968e-05,-8.603729838796426e-06,-2.519761800765991,0.0,0.0,-2.5252054119110108,0.08,-2.5397618007659912,-2.545205411911011
5520,1.3800000000000001,-2.841025525412988e-05,-8.775877176958602e-06,-2.5197694301605225,0.0,0.0,-2.5252054119110108,0.08,-2.5397694301605225,-2.545205411911011
5600,1.4000000000000001,-2.8482261768658645e-05,-8.943015927798115e-06,-2.5197770595550537,0.0,0.0,-2.5252054119110108,0.08,-2.5397770595550537,-2.545205411911011
5680,1.42,-2.85562637145631e-05,-9.106875950237736e-06,-2.5197837352752686,0.0,0.0,-2.5252054119110108,0.08,-2.5397837352752686,-2.545205411911011
5760,1.44,-2.863361623894889e-05,-9.263308129447978e-06,-2.5197904109954834,0.0,0.0,-2.5252054119110108,0.08,-2.5397904109954834,-2.545205411911011
5840,1.46,-2.870989374059718e-05,-9.411468454345595e-06,-2.51979660987854,0.0,0.0,-2.5252054119110108,0.08,-2.53979660987854,-2.545205411911011
5920,1.48,-2.8784701498807408e-05,-9.55610812525265e-06,-2.5198023319244385,0.0,0.0,-2.5252054119110108,0.08,-2.5398023319244385,-2.545205411911011
6000,1.5,-2.886120455514174e-05,-9.701935596240219e-06,-2.5198075771331787,0.0,0.0,-2.5252054119110108,0.08,-2.5398075771331787,-2.545205411911011
6080,1.52,-2.8938016839674674e-05,-9.855316420726012e-06,-2.51981258392334,0.0,0.0,-2.5252054119110108,0.08,-2.53981258392334,-2.545205411911011
6160,1.54,-2.9009701393079013e-05,-1.0016252417699434e-05,-2.519817352294922,0.0,0.0,-2.5252054119110108,0.08,-2.539817352294922,-2.545205411911011
6240,1.56,-2.9074251870042644e-05,-1.0173339433094952e-05,-2.519821882247925,0.0,0.0,-2.5252054119110108,0.08,-2.539821882247925,-2.545205411911011
6320,1.58,-2.9138478566892445e-05,-1.0320403816876933e-05,-2.5198259353637695,0.0,0.0,-2.5252054119110108,0.08,-2.5398259353637695,-2.545205411911011
6400,1.6,-2.9203305530245416e-05,-1.0460593330208212e-05,-2.5198299884796143,0.0,0.0,-2.5252054119110108,0.08,-2.5398299884796143,-2.545205411911011
