radius_lower_m,radius_upper_m,radius_center_m,count,chrono_response_mm_mean,chrono_response_mm_rmse,chrono_response_mm_p05,chrono_response_mm_median,chrono_response_mm_p95,genesis_response_mm_mean,genesis_response_mm_rmse,genesis_response_mm_p05,genesis_response_mm_median,genesis_response_mm_p95,error_mm_mean,error_mm_rmse,error_mm_p05,error_mm_median,error_mm_p95,phase,inside_action_radius
0.22,0.225,0.2225,280,0.0,0.0,0.0,0.0,0.0,0.41649872064590454,0.41995200514793396,0.3321942090988159,0.41592538356781006,0.48802387714385986,0.41649872064590454,0.41995200514793396,0.3321942090988159,0.41592538356781006,0.48802387714385986,loaded,False
0.225,0.23,0.2275,268,0.0,0.0,0.0,0.0,0.0,0.4026336073875427,0.40687331557273865,0.3114253878593445,0.39674055576324463,0.4827927350997925,0.4026336073875427,0.40687331557273865,0.3114253878593445,0.39674055576324463,0.4827927350997925,loaded,False
0.23,0.23500000000000001,0.2325,296,0.0,0.0,0.0,0.0,0.0,0.39394280314445496,0.39886024594306946,0.2934061288833618,0.39763760566711426,0.47659429907798767,0.39394280314445496,0.39886024594306946,0.2934061288833618,0.39763760566711426,0.47659429907798767,loaded,False
0.23500000000000001,0.24,0.2375,290,0.0,0.0,0.0,0.0,0.0,0.37603747844696045,0.38141775131225586,0.2746764123439789,0.378995418548584,0.46674644947052,0.37603747844696045,0.38141775131225586,0.2746764123439789,0.378995418548584,0.46674644947052,loaded,False
0.24,0.245,0.2425,312,0.0,0.0,0.0,0.0,0.0,0.3669535219669342,0.37341058254241943,0.2605356276035309,0.36710020899772644,0.45937278866767883,0.3669535219669342,0.37341058254241943,0.2605356276035309,0.36710020899772644,0.45937278866767883,loaded,False
0.245,0.25,0.2475,307,0.0,0.0,0.0,0.0,0.0,0.3454563617706299,0.35205334424972534,0.25102531909942627,0.34263792634010315,0.4466570317745209,0.3454563617706299,0.35205334424972534,0.25102531909942627,0.34263792634010315,0.4466570317745209,loaded,False
0.25,0.255,0.2525,333,0.0,0.0,0.0,0.0,0.0,0.3328935205936432,0.33981427550315857,0.24847933650016785,0.32533034682273865,0.43513059616088867,0.3328935205936432,0.33981427550315857,0.24847933650016785,0.32533034682273865,0.43513059616088867,loaded,False
0.255,0.26,0.2575,324,0.0,0.0,0.0,0.0,0.0,0.32152989506721497,0.3275145888328552,0.24564845860004425,0.31222885847091675,0.4203096926212311,0.32152989506721497,0.3275145888328552,0.24564845860004425,0.31222885847091675,0.4203096926212311,loaded,False
0.26,0.265,0.2625,314,0.0,0.0,0.0,0.0,0.0,0.30842211842536926,0.3132741153240204,0.24575833976268768,0.28680354356765747,0.4041989743709564,0.30842211842536926,0.3132741153240204,0.24575833976268768,0.28680354356765747,0.4041989743709564,loaded,False
0.265,0.27,0.2675,342,0.0,0.0,0.0,0.0,0.0,0.31014496088027954,0.3139837980270386,0.24840812385082245,0.2926384210586548,0.39277857542037964,0.31014496088027954,0.3139837980270386,0.24840812385082245,0.2926384210586548,0.39277857542037964,loaded,False
0.27,0.275,0.2725,328,0.0,0.0,0.0,0.0,0.0,0.3064759075641632,0.30920717120170593,0.2513846755027771,0.30145806074142456,0.3740040063858032,0.3064759075641632,0.30920717120170593,0.2513846755027771,0.30145806074142456,0.3740040063858032,loaded,False
0.275,0.28,0.2775,376,0.0,0.0,0.0,0.0,0.0,0.3193487226963043,0.32722726464271545,0.2498370110988617,0.30127227306365967,0.5305674076080322,0.3193487226963043,0.32722726464271545,0.2498370110988617,0.30127227306365967,0.5305674076080322,loaded,False
0.28,0.28500000000000003,0.28250000000000003,344,0.0,0.0,0.0,0.0,0.0,0.3689105808734894,0.4037202000617981,0.2461213618516922,0.3098669946193695,0.8539835810661316,0.3689105808734894,0.4037202000617981,0.2461213618516922,0.3098669946193695,0.8539835810661316,loaded,False
0.28500000000000003,0.29,0.2875,356,0.0,0.0,0.0,0.0,0.0,0.4538326561450958,0.5386384129524231,0.24026405811309814,0.30394721031188965,1.3002078533172607,0.4538326561450958,0.5386384129524231,0.24026405811309814,0.30394721031188965,1.3002078533172607,loaded,False
0.29,0.295,0.2925,364,0.0,0.0,0.0,0.0,0.0,0.5906057953834534,0.7475676536560059,0.23216679692268372,0.30529600381851196,1.6607855558395386,0.5906057953834534,0.7475676536560059,0.23216679692268372,0.30529600381851196,1.6607855558395386,loaded,False
0.295,0.3,0.2975,347,0.0,0.0,0.0,0.0,0.0,0.6629652380943298,0.8613079786300659,0.21445386111736298,0.2858772575855255,1.6875228881835938,0.6629652380943298,0.8613079786300659,0.21445386111736298,0.2858772575855255,1.6875228881835938,loaded,False
0.3,0.305,0.3025,319,0.0,0.0,0.0,0.0,0.0,0.5860565304756165,0.783125102519989,0.19642876088619232,0.26327475905418396,1.6152502298355103,0.5860565304756165,0.783125102519989,0.19642876088619232,0.26327475905418396,1.6152502298355103,loaded,False
0.305,0.31,0.3075,258,0.0,0.0,0.0,0.0,0.0,0.5441543459892273,0.7348352670669556,0.17316144704818726,0.23763135075569153,1.5687891244888306,0.5441543459892273,0.7348352670669556,0.17316144704818726,0.23763135075569153,1.5687891244888306,loaded,False
0.31,0.315,0.3125,238,0.0,0.0,0.0,0.0,0.0,0.48468735814094543,0.6723647117614746,0.15181057155132294,0.2109367549419403,1.511093020439148,0.48468735814094543,0.6723647117614746,0.15181057155132294,0.2109367549419403,1.511093020439148,loaded,False
0.315,0.32,0.3175,222,0.0,0.0,0.0,0.0,0.0,0.4546806514263153,0.6304590702056885,0.12748290598392487,0.190900057554245,1.451759934425354,0.4546806514263153,0.6304590702056885,0.12748290598392487,0.190900057554245,1.451759934425354,loaded,False
0.32,0.325,0.3225,195,0.0,0.0,0.0,0.0,0.0,0.44421470165252686,0.6274489164352417,0.1019846647977829,0.1853654384613037,1.4096373319625854,0.44421470165252686,0.6274489164352417,0.1019846647977829,0.1853654384613037,1.4096373319625854,loaded,False
