comparison,fixed_n_grid,fixed_dt_s,from_label,to_label,loaded_rmse_delta_mm,residual_footprint_rmse_delta_mm,objective_delta_mm,candidate_h0_rmse_delta_mm
timestep,64,,n64_dt0p5,n64_dt0p25,0.6818721901441278,2.3246942896635208,1.8442193349758877,-0.3204864915460348
timestep,128,,n128_dt0p5,n128_dt0p25,0.603845933523965,1.5250580575786596,1.3663749623132926,-0.3449475043453276
resolution,,0.0005,n64_dt0p5,n128_dt0p5,-0.43338029009021106,0.2333687518791887,-0.3166959141506158,-3.288896579761058
resolution,,0.00025,n64_dt0p25,n128_dt0p25,-0.5114065467103739,-0.5662674802056724,-0.794540286813211,-3.313357592560351
