phase,active_particles,jp_nonzero_particles,delta_jp_nonzero_particles,jp_mean,jp_p01,jp_median,jp_p95,jp_p99,jp_max,delta_jp_mean,delta_jp_p01,delta_jp_median,delta_jp_p95,delta_jp_p99,delta_jp_max,det_f_mean,det_f_p01,det_f_median,det_f_p95,det_f_p99,det_f_max,delta_det_f_mean,delta_det_f_p01,delta_det_f_median,delta_det_f_p95,delta_det_f_p99,delta_det_f_max,displacement_mm_mean,displacement_mm_p01,displacement_mm_median,displacement_mm_p95,displacement_mm_p99,displacement_mm_max,vertical_displacement_mm_mean,vertical_displacement_mm_p01,vertical_displacement_mm_median,vertical_displacement_mm_p95,vertical_displacement_mm_p99,vertical_displacement_mm_max
initial,307461,1243,0,0.00012863342999480665,0.0,0.0,0.0,0.0,0.5004503130912781,0.0,0.0,0.0,0.0,0.0,0.0,0.9403154253959656,0.8378856778144836,0.9453273415565491,0.9952506422996521,0.9977936744689941,1.000001072883606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loaded,307461,6589,6589,0.0008687272202223539,0.0,0.0,0.0,0.013349223881959915,0.81593918800354,0.0007400937029160559,0.0,0.0,0.0,0.012647366151213646,0.6916201114654541,0.9318053722381592,0.8205592632293701,0.9344225525856018,0.995096743106842,0.9999999403953552,1.0000011920928955,-0.008510008454322815,-0.06460205465555191,-0.00599825382232666,0.0029324889183044434,0.009997500106692314,0.1153954267501831,0.7239461541175842,0.047585003077983856,0.3595583140850067,2.491269111633301,8.429169654846191,21.32135009765625,-0.20088842511177063,-6.9178032875061035,0.010624527931213379,0.4970729351043701,1.0038492679595947,2.404592990875244
final,307461,8481,8481,0.0013122590025886893,0.0,0.0,0.0,0.02612648718059063,0.8692871928215027,0.001183625659905374,0.0,0.0,0.0,0.02256968803703785,0.7449681162834167,0.9344894289970398,0.8270444869995117,0.937298059463501,0.9959279894828796,1.0000001192092896,1.0000014305114746,-0.0058259242214262486,-0.032287418842315674,-0.005728363990783691,0.0038870573043823242,0.016779160127043724,0.12173765897750854,0.5197380185127258,0.00949155818670988,0.27702948451042175,1.9126454591751099,4.896722793579102,22.52104377746582,0.026419151574373245,-3.0650906562805176,0.06010383367538452,0.7406822443008423,1.5658907890319824,2.7115671634674072
