phase,axis,coordinate_m,chrono_response_mm,genesis_response_mm,error_mm
loaded,x,-0.295,0.0,1.7212501764297485,1.7212501764297485
loaded,x,-0.29,0.0,1.345014214515686,1.345014214515686
loaded,x,-0.285,0.0,0.876093864440918,0.876093864440918
loaded,x,-0.27999999999999997,0.0,0.5448296666145325,0.5448296666145325
loaded,x,-0.27499999999999997,0.0,0.3634187877178192,0.3634187877178192
loaded,x,-0.27,0.0,0.312578409910202,0.312578409910202
loaded,x,-0.265,0.0,0.2869056165218353,0.2869056165218353
loaded,x,-0.26,0.0,0.26985490322113037,0.26985490322113037
loaded,x,-0.255,0.0,0.26132458448410034,0.26132458448410034
loaded,x,-0.25,0.0,0.2613450586795807,0.2613450586795807
loaded,x,-0.245,0.0,0.26902636885643005,0.26902636885643005
loaded,x,-0.24,0.0,0.28530165553092957,0.28530165553092957
loaded,x,-0.235,0.0,0.3040667474269867,0.3040667474269867
loaded,x,-0.22999999999999998,0.0,0.3216560482978821,0.3216560482978821
loaded,x,-0.22499999999999998,0.0,0.3381815552711487,0.3381815552711487
loaded,x,-0.21999999999999997,0.0,0.35363784432411194,0.35363784432411194
loaded,x,-0.21499999999999997,0.0,0.3681637942790985,0.3681637942790985
loaded,x,-0.21,0.0,0.3820408582687378,0.3820408582687378
loaded,x,-0.205,0.0,0.39544567465782166,0.39544567465782166
loaded,x,-0.19999999999999998,0.0,0.40841367840766907,0.40841367840766907
loaded,x,-0.195,0.0,0.4208856523036957,0.4208856523036957
loaded,x,-0.19,0.0,0.4332329332828522,0.4332329332828522
loaded,x,-0.185,0.0,0.4459523558616638,0.4459523558616638
loaded,x,-0.18,0.0,0.4591127038002014,0.4591127038002014
loaded,x,-0.175,0.0,0.4747423827648163,0.4747423827648163
loaded,x,-0.16999999999999998,0.0,0.49833738803863525,0.49833738803863525
loaded,x,-0.16499999999999998,0.0,0.5300150513648987,0.5300150513648987
loaded,x,-0.15999999999999998,0.0,0.5701897144317627,0.5701897144317627
loaded,x,-0.155,0.0,0.6214402318000793,0.6214402318000793
loaded,x,-0.15,0.0,0.6841698288917542,0.6841698288917542
loaded,x,-0.145,0.0,0.7564314603805542,0.7564314603805542
loaded,x,-0.13999999999999999,0.0,0.8336451053619385,0.8336451053619385
loaded,x,-0.13499999999999998,0.0,0.9157513380050659,0.9157513380050659
loaded,x,-0.12999999999999998,0.0,0.9994332194328308,0.9994332194328308
loaded,x,-0.12499999999999997,0.0,1.0743309259414673,1.0743309259414673
loaded,x,-0.12,0.0,1.1414382457733154,1.1414382457733154
loaded,x,-0.11499999999999999,0.0,1.1969331502914429,1.1969331502914429
loaded,x,-0.10999999999999999,0.0,1.2084017992019653,1.2084017992019653
loaded,x,-0.10499999999999998,0.0,1.0799815654754639,1.0799815654754639
loaded,x,-0.09999999999999998,0.0,0.8829793930053711,0.8829793930053711
loaded,x,-0.09499999999999997,0.0,0.5681412220001221,0.5681412220001221
loaded,x,-0.09,0.0,0.12113852798938751,0.12113852798938751
loaded,x,-0.08499999999999999,0.0,-0.5499793887138367,-0.5499793887138367
loaded,x,-0.07999999999999999,0.0,-1.4564309120178223,-1.4564309120178223
loaded,x,-0.07499999999999998,-11.030850410461426,-2.586857557296753,8.443992614746094
loaded,x,-0.06999999999999998,-16.259273529052734,-3.8191184997558594,12.440155029296875
loaded,x,-0.06499999999999997,-16.857080459594727,-5.615333080291748,11.24174690246582
loaded,x,-0.06,-18.343488693237305,-8.612186431884766,9.731302261352539
loaded,x,-0.05499999999999999,-18.920507431030273,-11.749545097351074,7.170962333679199
loaded,x,-0.04999999999999999,-19.47938346862793,-13.579687118530273,5.899696350097656
loaded,x,-0.044999999999999984,-20.021591186523438,-14.382522583007812,5.639068603515625
loaded,x,-0.03999999999999998,-20.546527862548828,-29.285079956054688,-8.73855209350586
loaded,x,-0.034999999999999976,-20.432857513427734,-14.60106372833252,5.831793785095215
loaded,x,-0.02999999999999997,-21.10179328918457,-14.699271202087402,6.402522087097168
loaded,x,-0.024999999999999967,-21.66817283630371,-14.743307113647461,6.92486572265625
loaded,x,-0.019999999999999962,-21.048898696899414,-14.741738319396973,6.307160377502441
loaded,x,-0.014999999999999958,-20.848297119140625,-14.73577880859375,6.112518310546875
loaded,x,-0.010000000000000009,-20.987348556518555,-14.729758262634277,6.257590293884277
loaded,x,-0.0050000000000000044,-20.006301879882812,-14.724510192871094,5.281791687011719
loaded,x,0.0,-18.486907958984375,-14.722626686096191,3.7642812728881836
loaded,x,0.0050000000000000044,-20.913816452026367,-14.724609375,6.189207077026367
loaded,x,0.010000000000000009,-21.183069229125977,-14.729952812194824,6.453116416931152
loaded,x,0.015000000000000013,-20.943275451660156,-14.736038208007812,6.207237243652344
loaded,x,0.020000000000000018,-21.278156280517578,-14.742057800292969,6.536098480224609
loaded,x,0.025000000000000022,-21.605607986450195,-14.743425369262695,6.8621826171875
loaded,x,0.030000000000000027,-21.005748748779297,-14.69900894165039,6.306739807128906
loaded,x,0.03500000000000003,-20.297489166259766,-14.600079536437988,5.697409629821777
loaded,x,0.040000000000000036,-20.284738540649414,-29.27862548828125,-8.993886947631836
loaded,x,0.04500000000000004,-19.69491958618164,-14.380509376525879,5.314410209655762
loaded,x,0.050000000000000044,-19.09845733642578,-13.577251434326172,5.521205902099609
loaded,x,0.05499999999999999,-18.499523162841797,-11.750690460205078,6.748832702636719
loaded,x,0.06,-17.902158737182617,-8.612357139587402,9.289801597595215
loaded,x,0.065,-17.302146911621094,-5.617887020111084,11.684259414672852
loaded,x,0.07,-16.06123924255371,-3.8254661560058594,12.235773086547852
loaded,x,0.07500000000000001,-10.878662109375,-2.5966947078704834,8.281967163085938
loaded,x,0.08000000000000002,0.0,-1.468870759010315,-1.468870759010315
loaded,x,0.08500000000000002,0.0,-0.5627859830856323,-0.5627859830856323
loaded,x,0.09000000000000002,0.0,0.10863569378852844,0.10863569378852844
