result_path,valid,objective_mm,loaded_rmse_mm,residual_footprint_rmse_mm,residual_footprint_mean_signed_mm,log10_E,E_pa,phi_deg,nu,particle_spacing_m,particle_size_ratio,candidate_h0_rmse_mm,loaded_acceptance_mode,pareto_nondominated
/data/christoa/Chrono/tera_splat/outputs/validity_experiment/bayesopt/A0_oracle_guided_offset_5mm_gate6mm_5mm_n128_incumbent_raw_20260830/study_ykep3esa/trials/iteration_000/result.json,True,8.705098789050906,1.864202126789415,13.68179332452298,12.959310095784923,4.310328487292889,20432.828380658964,14.727052951461,0.10189453643386188,0.005,1.0,0.8762434008531272,equilibrium,True
/data/christoa/Chrono/tera_splat/outputs/validity_experiment/bayesopt/A0_oracle_guided_offset_5mm_gate6mm_5mm_n128_lowphi_boundary_20260829/study_yab3idti/trials/iteration_015/result.json,True,8.72602288201008,1.946560892398916,13.558923979222325,12.749805207880433,4.323260448967782,21050.404665162365,14.140548434999403,0.10018698182337157,0.005,1.0,0.8252919069491327,equilibrium,True
/data/christoa/Chrono/tera_splat/outputs/validity_experiment/bayesopt/A0_oracle_guided_offset_5mm_gate6mm_5mm_n128_lowphi_boundary_20260829/study_yab3idti/trials/iteration_016/result.json,True,8.732366419333017,1.943473190856972,13.577786456952088,12.80703152464855,4.313518811761536,20583.480473599167,14.000079130050066,0.10174426892118034,0.005,1.0,0.8570812060497701,equilibrium,True
/data/christoa/Chrono/tera_splat/outputs/validity_experiment/bayesopt/A0_oracle_guided_offset_5mm_gate6mm_5mm_n128_lowphi_boundary_20260829/study_yab3idti/trials/iteration_014/result.json,True,8.76336900997857,1.997083141742116,13.532571736472907,12.760073197023031,4.31619087854039,20710.51405041513,13.915239684613402,0.10401986349478164,0.005,1.0,0.8361359941773117,equilibrium,True
/data/christoa/Chrono/tera_splat/outputs/validity_experiment/bayesopt/A0_oracle_guided_offset_5mm_gate6mm_5mm_n128_lowphi_boundary_20260829/study_yab3idti/trials/iteration_013/result.json,True,8.785979995777998,1.8720617021174157,13.827836587321165,13.11222738953083,4.292457128126682,19609.075926999245,14.226570772699102,0.10123588453550693,0.005,1.0,0.8927216986194253,equilibrium,False
/data/christoa/Chrono/tera_splat/outputs/validity_experiment/bayesopt/A0_oracle_guided_offset_5mm_gate6mm_5mm_n128_lowphi_boundary_20260829/study_yab3idti/trials/iteration_010/result.json,True,8.845183878789168,1.9384312670149646,13.813505223548407,13.090278197738604,4.320374561784759,20910.98843265424,15.307125784992426,0.10178595473544011,0.005,1.0,0.8201829623430967,equilibrium,False
/data/christoa/Chrono/tera_splat/outputs/validity_experiment/bayesopt/A0_oracle_guided_offset_5mm_gate6mm_5mm_n128_lowphi_boundary_20260829/study_yab3idti/trials/iteration_009/result.json,True,8.959125993389552,1.98498027695333,13.948291432872445,13.309905460494589,4.326721676875252,21218.841897884846,15.753760846562276,0.10163866762454572,0.005,1.0,0.8020935929380357,equilibrium,False
/data/christoa/Chrono/tera_splat/outputs/validity_experiment/bayesopt/A0_oracle_guided_offset_5mm_gate6mm_5mm_n128_compact_20260829/study_9on0s14j/trials/iteration_008/result.json,True,9.130631882334288,2.0361001257482854,14.189063513172009,13.519379599531904,4.315517277570874,20678.416453867667,16.50770096909899,0.10151632356135101,0.005,1.0,0.7872738060541451,equilibrium,False
/data/christoa/Chrono/tera_splat/outputs/validity_experiment/bayesopt/A0_oracle_guided_offset_5mm_gate6mm_5mm_n128_compact_20260829/study_9on0s14j/trials/iteration_007/result.json,True,9.264368487083543,2.054213482813849,14.420310008539387,13.77707127243679,4.300209811285413,19962.264757082983,16.86165632249999,0.10114095958056206,0.005,1.0,0.791310565546155,equilibrium,False
/data/christoa/Chrono/tera_splat/outputs/validity_experiment/bayesopt/A0_oracle_guided_offset_5mm_gate6mm_5mm_n128_compact_20260829/study_9on0s14j/trials/iteration_006/result.json,True,9.320824295925942,2.060069778893273,14.521509034065335,13.89210615141032,4.2903806695620945,19515.54434707377,16.93824613594079,0.10571721811275898,0.005,1.0,0.7898102630861104,equilibrium,False
