radius_lower_m,radius_upper_m,radius_center_m,count,jp_mean,jp_rmse,jp_p05,jp_median,jp_p95,delta_jp_mean,delta_jp_rmse,delta_jp_p05,delta_jp_median,delta_jp_p95,det_f_mean,det_f_rmse,det_f_p05,det_f_median,det_f_p95,delta_det_f_mean,delta_det_f_rmse,delta_det_f_p05,delta_det_f_median,delta_det_f_p95,vertical_displacement_mm_mean,vertical_displacement_mm_rmse,vertical_displacement_mm_p05,vertical_displacement_mm_median,vertical_displacement_mm_p95,phase,inside_action_radius
0.1,0.105,0.10250000000000001,2604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9394521713256836,0.9402096271514893,0.8704819083213806,0.9414958953857422,0.9934495091438293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.105,0.11,0.1075,3011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9393167495727539,0.9400743246078491,0.8702526092529297,0.9415382742881775,0.9936232566833496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.11,0.115,0.1125,2869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9397693276405334,0.9405327439308167,0.8701959252357483,0.9417938590049744,0.9938799738883972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.115,0.12,0.1175,2940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9396436214447021,0.9404070973396301,0.8701881170272827,0.9417423605918884,0.9939549565315247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.12,0.125,0.1225,3192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9396958351135254,0.9404597878456116,0.8701322078704834,0.9418038129806519,0.9942202568054199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.125,0.13,0.1275,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9387915134429932,0.9395627379417419,0.8697524666786194,0.9414979219436646,0.994431734085083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.13,0.135,0.1325,3824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9407253861427307,0.9414863586425781,0.8700348138809204,0.9421731233596802,0.9948259592056274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.135,0.14,0.1375,3444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9398929476737976,0.9406611919403076,0.8698737025260925,0.9419040679931641,0.9949016571044922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.14,0.145,0.14250000000000002,3528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9399580359458923,0.9407287240028381,0.8700968027114868,0.9420592784881592,0.9950445294380188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.145,0.15,0.1475,3899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9395511150360107,0.9403337836265564,0.8695295453071594,0.941991925239563,0.9952220916748047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.15,0.155,0.1525,4081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9405540227890015,0.9413177371025085,0.8702785968780518,0.9423206448554993,0.995418131351471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.155,0.16,0.1575,4252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9396231770515442,0.9404082298278809,0.8694131970405579,0.9418956637382507,0.9956626892089844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.16,0.165,0.1625,4150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9406970143318176,0.9414701461791992,0.8701640963554382,0.9424749612808228,0.9958588480949402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.165,0.17,0.1675,4205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9391811490058899,0.939984142780304,0.8488801121711731,0.9418404698371887,0.9959828853607178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.17,0.17500000000000002,0.17250000000000001,4778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9401648044586182,0.9409357905387878,0.8703820109367371,0.9418758153915405,0.9959883689880371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.17500000000000002,0.18,0.1775,4659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9409693479537964,0.9417499899864197,0.869985818862915,0.9428574442863464,0.9962396621704102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.18,0.185,0.1825,4916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9407210946083069,0.9415144324302673,0.8698418140411377,0.942592442035675,0.9962677955627441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.185,0.19,0.1875,4664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9399242401123047,0.9407306909561157,0.8692936301231384,0.9421337842941284,0.9963496923446655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.19,0.195,0.1925,5110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9388086795806885,0.9396120309829712,0.8576037287712097,0.9413504004478455,0.9964714050292969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.195,0.2,0.1975,5347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9414644837379456,0.9422677159309387,0.8697150349617004,0.9433348774909973,0.9967845678329468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.2,0.20500000000000002,0.2025,5211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9410773515701294,0.9418695569038391,0.8696732521057129,0.943348228931427,0.9966922998428345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.20500000000000002,0.21,0.20750000000000002,5517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.940141499042511,0.940948486328125,0.8691046833992004,0.9432494044303894,0.9966527819633484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.21,0.215,0.2125,5308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9396023154258728,0.9404444694519043,0.8480123281478882,0.9437035322189331,0.9966005086898804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.215,0.22,0.2175,5939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9394871592521667,0.9402980208396912,0.8680859208106995,0.9435634016990662,0.9965229034423828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
0.22,0.225,0.2225,5807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9404408931732178,0.9412694573402405,0.8679625391960144,0.9443048238754272,0.9965456128120422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,initial,False
