phase,scope,cells,rmse_mm,mae_mm,mean_signed_mm,p05_signed_mm,p95_signed_mm
loaded,common_support,14161,1.8642021417617798,0.8690615892410278,0.7620629072189331,0.017578713595867157,1.6556497812271118
residual,action_footprint,673,13.681793212890625,13.01591682434082,12.959309577941895,1.5741512775421143,17.300458908081055
recovery,action_footprint,673,9.212688446044922,7.858348369598389,6.810217380523682,-4.885972499847412,18.56940269470215
